iter	Passed	Remaining
0	243	243101
1	244	121986
2	245	81544
3	246	61326
4	247	49210
5	248	41139
6	249	35373
7	250	31054
8	251	27678
9	252	24991
10	253	22782
11	254	20934
12	255	19376
13	256	18033
14	256	16870
15	257	15861
16	258	14967
17	259	14176
18	260	13465
19	261	12820
20	262	12243
21	263	11725
22	264	11244
23	265	10799
24	266	10389
25	267	10010
26	268	9659
27	268	9333
28	269	9030
29	270	8747
30	271	8482
31	272	8235
32	273	8001
33	273	7781
34	274	7573
35	275	7377
36	276	7191
37	277	7019
38	278	6858
39	279	6701
40	280	6549
41	280	6405
42	281	6269
43	282	6139
44	283	6016
45	284	5896
46	285	5781
47	285	5671
48	286	5565
49	287	5464
50	288	5366
51	289	5272
52	290	5182
53	290	5095
54	291	5012
55	292	4936
56	293	4858
57	294	4783
58	295	4712
59	296	4642
60	297	4573
61	297	4506
62	298	4443
63	299	4380
64	300	4320
65	301	4262
66	302	4205
67	302	4145
68	303	4092
69	304	4041
70	305	3992
71	306	3945
72	307	3900
73	308	3856
74	309	3812
75	310	3769
76	310	3727
77	311	3686
78	312	3646
79	313	3606
80	314	3568
81	315	3531
82	316	3494
83	317	3458
84	317	3420
85	318	3387
86	319	3351
87	320	3320
88	321	3289
89	322	3257
90	323	3226
91	323	3195
92	324	3166
93	325	3137
94	326	3108
95	327	3080
96	328	3053
97	328	3026
98	329	2999
99	330	2974
100	331	2949
101	331	2922
102	332	2896
103	333	2872
104	334	2848
105	335	2826
106	336	2805
107	337	2783
108	337	2761
109	338	2740
110	339	2719
111	340	2698
112	341	2677
113	341	2657
114	342	2637
115	343	2617
116	344	2598
117	345	2579
118	345	2560
119	346	2542
120	347	2525
121	348	2507
122	348	2487
123	349	2470
124	350	2456
125	351	2440
126	352	2424
127	353	2406
128	353	2390
129	354	2374
130	355	2358
131	356	2342
132	357	2327
133	357	2312
134	358	2297
135	359	2283
136	360	2269
137	360	2253
138	361	2240
139	362	2226
140	363	2212
141	363	2198
142	364	2185
143	365	2175
144	366	2163
145	367	2151
146	368	2139
147	369	2127
148	370	2114
149	371	2102
150	371	2090
151	372	2078
152	373	2066
153	374	2055
154	374	2043
155	375	2031
156	376	2020
157	377	2009
158	377	1998
159	378	1987
160	379	1976
161	380	1967
162	381	1960
163	382	1951
164	383	1941
165	384	1930
166	385	1920
167	385	1910
168	386	1901
169	387	1891
170	388	1881
171	388	1872
172	389	1862
173	390	1853
174	391	1843
175	391	1834
176	392	1825
177	393	1816
178	393	1807
179	395	1799
180	395	1790
181	397	1785
182	397	1776
183	398	1768
184	399	1760
185	400	1752
186	401	1743
187	401	1735
188	402	1727
189	403	1719
190	404	1711
191	404	1703
192	405	1696
193	406	1688
194	407	1681
195	408	1674
196	408	1666
197	409	1660
198	411	1655
199	412	1650
200	413	1643
201	414	1636
202	415	1629
203	415	1622
204	416	1615
205	417	1608
206	418	1601
207	418	1594
208	419	1587
209	420	1581
210	421	1574
211	421	1567
212	422	1561
213	423	1554
214	424	1548
215	425	1543
216	426	1539
217	427	1532
218	428	1526
219	428	1520
220	429	1514
221	430	1507
222	431	1501
223	431	1496
224	432	1490
225	433	1484
226	434	1478
227	434	1472
228	435	1466
229	436	1460
230	437	1454
231	437	1449
232	438	1443
233	439	1439
234	441	1435
235	441	1430
236	442	1425
237	443	1420
238	444	1414
239	444	1409
240	445	1403
241	446	1398
242	447	1393
243	447	1387
244	448	1382
245	449	1377
246	450	1372
247	450	1367
248	451	1362
249	452	1356
250	453	1352
251	453	1347
252	454	1342
253	456	1339
254	456	1334
255	457	1330
256	458	1325
257	459	1320
258	459	1315
259	460	1311
260	461	1306
261	462	1301
262	462	1297
263	463	1292
264	464	1287
265	465	1283
266	465	1278
267	466	1274
268	467	1269
269	468	1265
270	469	1262
271	470	1258
272	471	1254
273	471	1250
274	472	1245
275	473	1241
276	474	1237
277	475	1233
278	475	1229
279	476	1225
280	477	1221
281	478	1217
282	478	1212
283	479	1208
284	480	1204
285	480	1200
286	481	1196
287	482	1192
288	483	1188
289	484	1185
290	485	1182
291	486	1178
292	486	1174
293	487	1170
294	488	1166
295	489	1163
296	489	1159
297	490	1155
298	491	1152
299	492	1148
300	492	1144
301	493	1140
302	494	1136
303	494	1133
304	495	1129
305	496	1125
306	497	1122
307	497	1118
308	498	1115
309	499	1112
310	500	1109
311	501	1106
312	502	1102
313	503	1099
314	503	1095
315	504	1092
316	505	1088
317	506	1085
318	506	1081
319	507	1078
320	508	1075
321	508	1071
322	509	1068
323	510	1064
324	511	1061
325	511	1058
326	512	1054
327	513	1051
328	514	1048
329	515	1045
330	515	1042
331	516	1039
332	517	1036
333	518	1032
334	518	1029
335	519	1026
336	520	1023
337	521	1020
338	521	1017
339	522	1014
340	523	1011
341	523	1008
342	524	1005
343	525	1001
344	526	998
345	526	995
346	527	992
347	528	990
348	529	987
349	529	984
350	530	981
351	531	978
352	532	975
353	532	972
354	533	969
355	534	966
356	535	963
357	535	960
358	536	957
359	537	955
360	537	952
361	538	949
362	539	946
363	540	943
364	540	940
365	541	938
366	542	935
367	543	932
368	543	929
369	544	927
370	545	924
371	546	921
372	546	919
373	547	916
374	548	913
375	549	911
376	549	908
377	550	905
378	551	903
379	551	900
380	552	897
381	553	895
382	554	892
383	554	890
384	555	887
385	556	884
386	557	882
387	557	879
388	558	877
389	559	874
390	560	872
391	561	870
392	561	867
393	562	865
394	563	862
395	564	860
396	564	857
397	565	855
398	566	852
399	566	850
400	567	847
401	568	845
402	569	842
403	569	840
404	570	838
405	571	835
406	572	833
407	572	831
408	573	828
409	574	826
410	575	824
411	575	821
412	576	819
413	577	817
414	578	814
415	578	812
416	579	810
417	580	807
418	580	805
419	581	803
420	582	801
421	583	798
422	583	796
423	584	794
424	585	792
425	586	789
426	586	787
427	587	785
428	588	783
429	589	781
430	590	778
431	590	776
432	591	774
433	592	772
434	592	770
435	593	768
436	594	765
437	595	763
438	595	761
439	596	759
440	597	757
441	598	754
442	598	752
443	599	750
444	600	748
445	600	746
446	601	744
447	602	742
448	603	740
449	603	738
450	604	736
451	605	734
452	606	732
453	607	730
454	607	727
455	608	725
456	609	724
457	610	722
458	610	720
459	611	718
460	612	716
461	613	714
462	614	712
463	614	710
464	615	708
